Source,Folio,Seq,Incipit,Text,Feast,Occasion,Genre,Position,"Cantus ID",Mode,Diff,"Diff db"
"P-BRs Ms. 034",382,002,"Alleluia Veni sponsa Christi accipe coronam","Alleluia Veni sponsa Christi accipe coronam quam tibi dominus praeparavit in aeternum","Comm. unius Virginis Martyris",MI,Al,,g02353,1,,
"P-BRs Ms. 034",383,001,"Qui seminant *","Qui seminant *","Comm. unius Virginis Martyris",MI,Tc,,g01314,*,,
"P-BRs Ms. 034",383,002,"Offerentur regi virgines post eam proxime","Offerentur regi virgines post eam proxime eius offerentur tibi","Comm. unius Virginis Martyris",MI,Of,,g00083,2,,
"P-BRs Ms. 034",383,003,"Feci judicium et justitiam domine non","Feci judicium et justitiam domine non calumnientur mihi superbi ad omnia mandata tua dirigebar omnem viam iniquitatis odio habui","Comm. unius Virginis Martyris",MI,Cm,,g01379,4,,
"P-BRs Ms. 034",383,004,"Dilexisti justitiam et odisti iniquitatem propterea","Dilexisti justitiam et odisti iniquitatem propterea unxit te deus deus tuus oleo laetitiae prae consortibus tuis","Comm. unius Virginis",MI,In,,g01380,8,,
"P-BRs Ms. 034",384,001,"Eructavit cor meum verbum bonum dico","Eructavit cor meum verbum bonum dico ego opera mea regi","Comm. unius Virginis",MI,InV,,501004a,8,,
"P-BRs Ms. 034",384,002,"Propter veritatem *","Propter veritatem *","Comm. unius Virginis",MI,Gr,,g00412,*,,
"P-BRs Ms. 034",384,003,"Alleluia Specie tua et pulchritudine tua","Alleluia Specie tua et pulchritudine tua intende prospere procede et regna","Comm. unius Virginis",MI,Al,,g01399,7,,
"P-BRs Ms. 034",384,004,"Qui seminant *","Qui seminant *","Comm. unius Virginis",MI,Tc,,g01314,*,,
"P-BRs Ms. 034",384,005,"Diffusa est gratia *","Diffusa est gratia *","Comm. unius Virginis",MI,Of,,g01378,*,,
"P-BRs Ms. 034",384,006,"Dilexisti justitiam*","Dilexisti justitiam*","Comm. unius Virginis",MI,Cm,,g01400,*,,
"P-BRs Ms. 034",384,007,"Offerentur regi virgines post eam proxime","Offerentur regi virgines post eam proxime eius offerentur tibi in laeticia et exultatione adducentur in templum regi domino","Comm. plurimorum Virginum",MI,In,,g02354,1,,
"P-BRs Ms. 034",384,008,"Eructavit cor meum verbum bonum dico","Eructavit cor meum verbum bonum dico ego opera mea regi","Comm. plurimorum Virginum",MI,InV,,501004a,1,,
"P-BRs Ms. 034",385,001,"Media nocte clamor factus est ecce","Media nocte clamor factus est ecce sponsus advenit exite obviam ei","Comm. plurimorum Virginum",MI,Gr,,g02355,2,,
"P-BRs Ms. 034",385,002,"Tunc surrexerunt omnes virgines illae ornavit","Tunc surrexerunt omnes virgines illae ornavit lampades suas et exierunt obviam ei","Comm. plurimorum Virginum",MI,GrV,,g02355a,2,,
